Environment,Episode,Robustness,Reward,End_Condition
10,11,-0.14981407434233274,-0.14981407434233274,no_reach_no_collision
11,11,-0.06348984657571624,-0.06348984657571624,no_reach_no_collision
0,12,-0.07006088356548465,-0.07006088356548465,no_reach_collision
1,12,-0.12022815877809732,-0.12022815877809732,no_reach_no_collision
2,12,-0.1695399582665922,-0.1695399582665922,no_reach_collision
3,12,-0.049092625649287944,-0.049092625649287944,no_reach_no_collision
4,12,-0.0639931929621104,-0.0639931929621104,no_reach_no_collision
5,12,-0.16547829016890084,-0.16547829016890084,no_reach_no_collision
6,12,-0.1300741189782844,-0.1300741189782844,no_reach_no_collision
7,12,-0.17089948957520315,-0.17089948957520315,no_reach_no_collision
8,12,-0.06491595115618666,-0.06491595115618666,no_reach_no_collision
9,12,-0.2159913347441747,-0.2159913347441747,no_reach_no_collision
10,12,-0.0663429637041948,-0.0663429637041948,no_reach_no_collision
11,12,-0.179548455574572,-0.179548455574572,no_reach_no_collision
0,13,-0.12952310577982115,-0.12952310577982115,no_reach_no_collision
1,13,-0.10224280357249538,-0.10224280357249538,no_reach_no_collision
2,13,-0.10328213933801142,-0.10328213933801142,no_reach_no_collision
3,13,-0.1234894492580456,-0.1234894492580456,no_reach_no_collision
4,13,-0.04898789094913658,-0.04898789094913658,no_reach_no_collision
5,13,-0.06966354059217811,-0.06966354059217811,no_reach_no_collision
6,13,-0.1462229813231072,-0.1462229813231072,no_reach_no_collision
7,13,-0.09770498994090941,-0.09770498994090941,no_reach_no_collision
8,13,-0.13584244469118884,-0.13584244469118884,no_reach_no_collision
9,13,-0.1376580476882411,-0.1376580476882411,no_reach_no_collision
10,13,-0.06546804383174995,-0.06546804383174995,reach_no_stay_no_collision
11,13,-0.13210191063212484,-0.13210191063212484,no_reach_no_collision
0,14,-0.11316565261749216,-0.11316565261749216,no_reach_no_collision
1,14,-0.07672170265299853,-0.07672170265299853,no_reach_no_collision
2,14,-0.221803107377068,-0.221803107377068,no_reach_no_collision
3,14,-0.14126090739801542,-0.14126090739801542,no_reach_no_collision
4,14,-0.09323126795913918,-0.09323126795913918,no_reach_no_collision
5,14,-0.07585992518328877,-0.07585992518328877,no_reach_no_collision
6,14,-0.10490358754048244,-0.10490358754048244,reach_no_stay_collision
7,14,-0.11546275553972964,-0.11546275553972964,no_reach_no_collision
8,14,-0.160649473472958,-0.160649473472958,no_reach_no_collision
9,14,-0.04325624552335228,-0.04325624552335228,no_reach_no_collision
10,14,-0.17810651929120494,-0.17810651929120494,no_reach_no_collision
11,14,-0.19438052225085525,-0.19438052225085525,no_reach_no_collision
0,15,-0.1593937305307116,-0.1593937305307116,no_reach_no_collision
1,15,-0.051738357344505964,-0.051738357344505964,reach_no_stay_no_collision
2,15,-0.20775747918310591,-0.20775747918310591,no_reach_no_collision
3,15,-0.04880973435021127,-0.04880973435021127,reach_no_stay_no_collision
4,15,-0.21495823829257305,-0.21495823829257305,no_reach_no_collision
5,15,-0.05906181876521449,-0.05906181876521449,no_reach_collision
6,15,-0.14935119045466078,-0.14935119045466078,no_reach_no_collision
7,15,-0.1496840755688409,-0.1496840755688409,no_reach_no_collision
8,15,-0.09087363483530653,-0.09087363483530653,reach_no_stay_collision
9,15,-0.17607978725777382,-0.17607978725777382,no_reach_no_collision
10,15,-0.07798182100535263,-0.07798182100535263,no_reach_no_collision
11,15,-0.16171954899088375,-0.16171954899088375,no_reach_no_collision
0,16,-0.14004248775746653,-0.14004248775746653,no_reach_no_collision
1,16,-0.12093672854281605,-0.12093672854281605,no_reach_no_collision
2,16,-0.08102278698827732,-0.08102278698827732,no_reach_collision
3,16,-0.13909440729086484,-0.13909440729086484,no_reach_no_collision
4,16,-0.09887395914593347,-0.09887395914593347,no_reach_no_collision
5,16,-0.17364862204468787,-0.17364862204468787,no_reach_no_collision
6,16,-0.05311196393715026,-0.05311196393715026,reach_no_stay_no_collision
7,16,-0.16186197129686414,-0.16186197129686414,no_reach_no_collision
8,16,-0.11773796231329138,-0.11773796231329138,no_reach_no_collision
9,16,-0.0919785882501725,-0.0919785882501725,no_reach_no_collision
10,16,-0.14416764180555056,-0.14416764180555056,no_reach_no_collision
11,16,-0.02880154716721074,-0.02880154716721074,no_reach_no_collision
0,17,-0.12038746284831463,-0.12038746284831463,no_reach_no_collision
1,17,-0.16542740926110341,-0.16542740926110341,no_reach_no_collision
2,17,0.0006988464900134113,-0.03802291693014045,reach_stay_no_collision
3,17,-0.11198563525603968,-0.11198563525603968,no_reach_no_collision
4,17,-0.1481697083340207,-0.1481697083340207,no_reach_no_collision
5,17,-0.07445961257312778,-0.07445961257312778,no_reach_collision
6,17,-0.09227506421879447,-0.09227506421879447,no_reach_no_collision
7,17,-0.20552341552834558,-0.20552341552834558,no_reach_no_collision
8,17,-0.1276711301608368,-0.1276711301608368,no_reach_no_collision
9,17,-0.08334852006713654,-0.08334852006713654,no_reach_no_collision
10,17,-0.1829953129982126,-0.1829953129982126,no_reach_no_collision
11,17,-0.09931298445563827,-0.09931298445563827,no_reach_no_collision
0,18,-0.10789825384029368,-0.10789825384029368,no_reach_no_collision
1,18,-0.057691923261282155,-0.057691923261282155,no_reach_no_collision
2,18,-0.02318452259080141,-0.02318452259080141,reach_no_stay_no_collision
3,18,-0.12134590613902536,-0.12134590613902536,no_reach_no_collision
4,18,-0.18316130142337345,-0.18316130142337345,no_reach_collision
5,18,-0.08478695921977623,-0.08478695921977623,no_reach_collision
6,18,-0.19878676797920936,-0.19878676797920936,no_reach_no_collision
7,18,-0.1314947652047588,-0.1314947652047588,no_reach_no_collision
8,18,-0.08100958232990144,-0.08100958232990144,no_reach_no_collision
9,18,-0.10936043447074383,-0.10936043447074383,no_reach_no_collision
10,18,-0.1344988142398827,-0.1344988142398827,no_reach_no_collision
11,18,-0.04334343217584738,-0.04334343217584738,no_reach_no_collision
0,19,-0.09753966544168702,-0.09753966544168702,no_reach_no_collision
1,19,-0.1205590031960914,-0.1205590031960914,reach_no_stay_no_collision
2,19,-0.13539686318521013,-0.13539686318521013,no_reach_no_collision
3,19,-0.16274301028179616,-0.16274301028179616,no_reach_no_collision
4,19,-0.09393598436503793,-0.09393598436503793,no_reach_no_collision
5,19,-0.14374018032712743,-0.14374018032712743,no_reach_no_collision
6,19,-0.11411560777930037,-0.11411560777930037,no_reach_no_collision
7,19,-0.09994898285329022,-0.09994898285329022,no_reach_no_collision
8,19,-0.024307256240164322,-0.05686350800927767,reach_no_stay_collision
9,19,-0.09123625145716387,-0.09123625145716387,no_reach_no_collision
10,19,-0.05976724326256745,-0.05976724326256745,no_reach_no_collision
11,19,-0.10724710422332069,-0.10724710422332069,no_reach_no_collision
0,20,-0.13190805915560078,-0.13190805915560078,no_reach_no_collision
1,20,-0.14771824476368214,-0.14771824476368214,no_reach_no_collision
2,20,-0.03643877823260601,-0.03643877823260601,reach_no_stay_no_collision
3,20,-0.19666819616102327,-0.19666819616102327,no_reach_no_collision
4,20,-0.1306954780763842,-0.1306954780763842,no_reach_no_collision
5,20,-0.05361972472781375,-0.05361972472781375,no_reach_no_collision
6,20,-0.06973390375656623,-0.06973390375656623,no_reach_no_collision
7,20,-0.08706293245295699,-0.08706293245295699,no_reach_collision
8,20,-0.1129521844642896,-0.1129521844642896,no_reach_no_collision
9,20,-0.12208495322010333,-0.12208495322010333,no_reach_collision
10,20,-0.09256150223562358,-0.09256150223562358,no_reach_no_collision
11,20,-0.09914039859303038,-0.09914039859303038,no_reach_no_collision
0,21,-0.06974892310701351,-0.06974892310701351,no_reach_no_collision
1,21,-0.167911206178891,-0.167911206178891,no_reach_no_collision
2,21,-0.1116911126988754,-0.1116911126988754,no_reach_collision
3,21,-0.15465683563344929,-0.15465683563344929,no_reach_no_collision
4,21,-0.19449583754010863,-0.19449583754010863,no_reach_no_collision
5,21,-0.036182395248028285,-0.036182395248028285,reach_no_stay_no_collision
6,21,-0.05365841250698683,-0.05365841250698683,reach_no_stay_no_collision
7,21,-0.02436170779022039,-0.07166790570056698,reach_no_stay_collision
8,21,-0.10820311331016387,-0.10820311331016387,no_reach_no_collision
9,21,-0.11317194516745356,-0.11317194516745356,no_reach_no_collision
10,21,-0.1769355165936584,-0.1769355165936584,no_reach_no_collision
11,21,-0.1346127703685453,-0.1346127703685453,reach_no_stay_no_collision
0,22,-0.04109211184251832,-0.06996024217899895,reach_no_stay_collision
1,22,-0.1326078235991474,-0.1326078235991474,no_reach_no_collision
