Environment,Episode,Robustness,End_Condition
11,20,-0.030217027670594632,collision
9,19,-0.026670429332470803,too_many_steps
9,20,0.004048551902411504,perfect
5,19,-0.011161607421991872,too_many_steps
0,20,-0.006869568992890155,too_many_steps
2,23,-0.005266069612503428,too_many_steps
9,21,0.005753702732866203,perfect
1,21,-0.03046540653360592,collision
3,21,-0.02570425457903635,too_many_steps
9,22,-0.041876614822587394,collision
3,22,0.008143995106882622,perfect
5,20,-0.03166750293495156,collision
6,28,-0.01362673664744981,too_many_steps
6,29,0.007547818168488575,perfect
0,21,-0.04499357480787228,collision
6,30,0.007709324240027831,perfect
4,27,-0.02804979065379467,too_many_steps
0,22,-0.06567888785942572,collision
4,28,-0.042051617122640425,collision
4,29,-0.06502210030620756,collision
7,23,-0.04191050405241766,collision
6,31,-0.03635639043659364,collision
8,24,-0.012954154823105364,too_many_steps
2,24,-0.030680168692379866,collision
10,24,-0.01839543413209259,too_many_steps
11,21,-0.010720083154139186,too_many_steps
2,25,0.005374390446885927,perfect
4,30,-0.03595707383681697,collision
10,25,0.001013259094009629,perfect
0,23,0.0008760040579362874,perfect
0,24,-0.04020060010565636,collision
4,31,-0.037958627381378035,collision
1,22,-0.01949407508782607,too_many_steps
8,25,-0.031582400317496435,collision
4,32,0.004245348028317445,perfect
11,22,-0.03657820132578913,collision
9,23,-0.012749792135300989,too_many_steps
3,23,-0.017774530596517346,too_many_steps
3,24,-0.05662199326538846,collision
5,21,-0.007694976778137748,too_many_steps
9,24,-0.0363344223977719,collision
5,22,0.004498909797111022,perfect
0,25,7.572678705862479e-05,perfect
7,24,-0.008217190263474963,too_many_steps
6,32,-0.01762184382081918,too_many_steps
4,33,-0.031022245103617268,collision
11,23,-0.04339174277384068,collision
3,25,0.0004933531140002174,perfect
0,26,-0.03145857150670015,collision
6,33,0.0007901328821902642,perfect
3,26,0.0013097480124046323,perfect
11,24,-0.030852931695600633,collision
5,23,-0.03343216533510423,collision
11,25,0.001873648533048819,perfect
11,26,-0.040924333282898545,collision
11,27,-0.08985273261694379,collision
2,26,-0.0010032904912656015,too_many_steps
10,26,-0.014896395182471933,too_many_steps
6,34,-0.03450111825081654,collision
10,27,-0.04002098962518843,collision
10,28,-0.03937300811575843,collision
1,23,-0.01363111359931532,too_many_steps
8,26,-0.03611682806098722,too_many_steps
6,35,0.000699524125582409,perfect
1,24,3.888791307061004e-05,perfect
0,27,-0.03775791196796138,collision
5,24,-0.034504026229814515,collision
9,25,-0.026955786074167164,too_many_steps
9,26,0.0005915928111485981,perfect
9,27,0.0009788039636878035,perfect
8,27,-0.03210806464081074,collision
7,25,-0.02621502332782117,too_many_steps
7,26,-0.12816971403036834,collision
4,34,0.0015328196525342223,perfect
8,28,-0.03966237925462217,collision
8,29,-0.06044767065740615,collision
10,29,-0.03635091610685105,collision
8,30,0.0071971794173664415,perfect
3,27,-0.021144514860219992,too_many_steps
8,31,0.003769642716647613,perfect
4,35,0.006176849536126881,perfect
11,28,-0.0069422120658467895,too_many_steps
2,27,-0.002919030542612295,too_many_steps
5,25,-0.030397021664466825,collision
4,36,-0.030560344659216254,collision
5,26,0.0024313156313784112,perfect
5,27,0.00659576496965184,perfect
11,29,-0.03408065686474901,collision
10,30,-0.03054094942062466,collision
6,36,-0.0029396074470206222,too_many_steps
3,28,-0.03465253683658676,collision
10,31,-0.03581654493605384,collision
1,25,-0.003962678337936162,too_many_steps
0,28,-0.0016671017443755654,too_many_steps
1,26,-0.03177089035309569,collision
5,28,-0.0328070546329151,collision
3,29,-0.030151386222723446,collision
0,29,-0.030464894250961817,collision
9,28,-0.012048688831573815,too_many_steps
7,27,-0.026525001043663145,too_many_steps
8,32,-0.012712083035357473,too_many_steps
2,28,-0.015560614492522495,too_many_steps
