Environment,Episode,Step,Robustness
0,109,0,-0.00099879549889028
1,109,0,-0.006346156350260087
0,110,0,-0.0005911997391651047
1,110,0,-0.002254244318920729
0,111,0,-0.0007427588140563393
1,111,0,-0.00021905155473192842
0,112,0,-0.00014657461315501635
1,112,0,-0.0008525716548151221
0,113,0,-0.0004566960888946134
1,113,0,-0.00039469702293691566
0,114,0,-6.950268542037924e-06
1,114,0,-0.0004682975502961484
0,115,0,-0.0007156112971101886
1,115,0,-0.0031029625632731823
0,116,0,-0.0006337486995370185
1,116,0,-6.218313521339294e-05
0,117,0,-0.0007126999316153793
1,117,0,-0.007394578364667243
0,118,0,-0.0006009527241655419
1,118,0,-0.007688933411106736
0,119,0,-0.00015670579786337263
1,119,0,-0.0025827093256667287
0,120,0,-0.0002576220563134217
1,120,0,-0.00048355054275009066
0,121,0,-0.0002917769104013278
1,121,0,-7.840654667067015e-05
0,122,0,-6.586677091706059e-05
1,122,0,-0.0005217495855949529
0,123,0,-1.1727128591799973e-05
1,123,0,-1.977888117416643e-06
0,124,0,-3.660885664828403e-05
1,124,0,-0.0045072195147455325
0,125,0,-0.00016890569231686747
1,125,0,-0.0002830988526537591
0,126,0,-0.00010734301921840397
1,126,0,-0.0053062816065169716
0,127,0,-0.0003870874616002558
1,127,0,-8.566535340357936e-05
