Environment,Episode,Robustness
3,25,-0.09683755517199409
6,21,-0.11260011286201389
0,32,-0.09507121023879836
3,26,-0.14700784099975076
9,22,-0.08540499146703079
2,28,-0.05101828597167664
5,22,-0.05287331319758534
9,23,-0.10065273309053467
9,24,-0.13929826409968032
11,24,-0.07686640892242327
7,22,-0.09413566953785048
9,25,-0.11040076236582842
3,27,-0.10022750951387636
11,25,-0.14092460535700532
5,23,-0.12337686654253964
10,21,-0.04802471459615436
8,23,-0.0833527043761481
2,29,-0.09514017026334608
6,22,-0.09319139072602546
11,26,-0.13086907113597562
4,28,-0.1078480119370674
10,22,-0.11029789664836971
2,30,-0.12311210020282036
7,23,-0.10617242133332568
4,29,-0.09896357601434318
10,23,-0.11996160489827852
11,27,-0.11602750346526909
4,30,-0.14510415972645557
0,33,-0.08129242208159441
11,28,-0.13277983276255062
5,24,-0.04799713958790873
4,31,-0.13886667243014741
9,26,-0.07426653663146165
4,32,-0.15135710402798153
3,28,-0.08647524215045778
10,24,-0.1070084269335055
2,31,-0.10619266752385294
9,27,-0.12867967583800013
5,25,-0.1402330106570286
8,24,-0.08298512521240926
11,29,-0.09787431211878062
6,23,-0.12355295561056649
2,32,-0.14504433408168138
8,25,-0.13019583576819146
10,25,-0.12977432429480948
1,21,-0.06589485004620128
7,24,-0.0840313221650356
10,26,-0.15787769789853184
6,24,-0.10353054131015495
2,33,-0.16073437137922167
11,30,-0.12019324107153141
2,34,-0.13412087394309488
7,25,-0.11538565766500865
11,31,-0.0997023479657029
9,28,-0.1302531246612063
10,27,-0.1392870863458113
0,34,-0.04199751091896793
10,28,-0.11741085084725865
1,22,-0.11795648186744302
3,29,-0.07905784529600528
3,30,-0.13450450504780145
1,23,-0.13171878536140985
10,29,-0.10390929146371597
6,25,-0.10866307647804664
5,26,-0.11851599799724986
11,32,-0.0720517354895997
10,30,-0.15015476156698535
10,31,-0.13949607129438454
6,26,-0.12404359097231467
3,31,-0.12498972881044061
11,33,-0.10811840736659593
4,33,-0.06229739947702882
7,26,-0.09481221254357819
0,35,-0.06441899072681961
6,27,-0.14845148269791278
2,35,-0.10178349626359326
9,29,-0.1076282998153661
4,34,-0.14524647552745407
8,26,-0.09199382265688057
10,32,-0.13999203539928393
2,36,-0.14424065888516052
11,34,-0.10331344796021044
6,28,-0.12221451144638133
10,33,-0.15244462463822034
9,30,-0.08053728575662236
