Environment,Episode,Robustness
3,39,-0.12219741908653269
11,48,-0.09944102913911781
9,38,-0.08753808193968257
10,36,-0.13406334664048128
7,41,-0.05362227056721028
5,47,-0.1033681691273269
8,55,-0.14442546235802972
4,50,-0.07887222152166806
1,48,-0.0769951351371415
5,48,-0.08843051850670934
11,49,-0.11417921743687211
8,56,-0.14556192809974294
4,51,-0.13520681940157692
1,49,-0.08104982884517639
3,40,-0.10341922300788131
10,37,-0.13530043693705476
6,45,-0.07056796279460407
10,38,-0.11876233543235186
7,42,-0.07435817633034987
4,52,-0.06576371103516222
0,49,-0.07840550308510286
4,53,-0.07748788805940159
11,50,-0.09811918050545361
7,43,-0.09868324734009709
10,39,-0.11235266354640551
5,49,-0.11186650796949964
2,54,-0.08119096184300385
7,44,-0.1352244269263371
3,41,-0.07959755371740572
2,55,-0.1411835757077593
8,57,-0.10853471406569741
3,42,-0.1197727882943805
6,46,-0.08774891541644252
5,50,-0.1393186513707194
3,43,-0.1423416071368992
8,58,-0.14346772350129483
5,51,-0.11746485251979412
10,40,-0.06710102839944375
10,41,-0.1400271084653398
6,47,-0.10527096917006722
7,45,-0.11723421300404586
0,50,-0.07260754139187775
10,42,-0.1351245259534471
4,54,-0.09809529951606734
6,48,-0.08747931374685858
8,59,-0.1298188116744814
0,51,-0.08332000191942096
1,50,-0.08181287074656328
6,49,-0.15244273120814794
5,52,-0.04795241360403529
3,44,-0.02954275804883272
4,55,-0.11364608720982218
1,51,-0.07241621650449992
7,46,-0.11824229999772669
10,43,-0.1034527198454566
5,53,-0.10175948517977523
4,56,-0.10030297379590518
8,60,-0.11213284430408978
3,45,-0.06581821029256263
11,51,-0.06625598272840295
4,57,-0.14531088560350008
2,56,-0.07849257465965569
9,39,-0.09797422608126237
11,52,-0.15101391355113347
3,46,-0.11367184517971728
5,54,-0.06019304509019566
10,44,-0.049451157105907445
8,61,-0.12749178615296555
2,57,-0.0950923604957721
9,40,-0.10713491099079768
0,52,-0.09171219546391099
1,52,-0.06532578736874688
11,53,-0.1372429551091243
10,45,-0.13844188454904477
3,47,-0.10884284097884601
0,53,-0.16491719843551408
7,47,-0.08908446144709216
4,58,-0.10030181629299184
3,48,-0.14587837058883996
2,58,-0.07574794419084532
5,55,-0.10948846750186002
10,46,-0.15615316227507303
11,54,-0.11561359166991668
7,48,-0.14286764275401298
0,54,-0.0809040639233849
1,53,-0.1317590410425183
8,62,-0.05883393613798531
3,49,-0.04490793628202788
1,54,-0.08141685292733741
0,55,-0.08912499965720405
4,59,-0.11956343233039891
8,63,-0.09748746631376878
7,49,-0.0707366398216679
5,56,-0.018990518659893017
4,60,-0.06777160336487494
6,50,-0.06993500913190842
8,64,-0.12509618602401407
11,55,-0.0582586616596162
0,56,-0.07247602445188885
10,47,-0.1043300648147087
7,50,-0.13591788368651744
0,57,-0.15493136066092006
6,51,-0.12420971171743982
5,57,-0.11961573798833257
7,51,-0.12125519282432758
11,56,-0.10031996250725735
3,50,-0.07251811422195557
10,48,-0.08642599626709091
7,52,-0.156189744953544
8,65,-0.08378596017941892
10,49,-0.12621224770960346
11,57,-0.10975569384774529
6,52,-0.07724455719019649
7,53,-0.10100672982456893
4,61,-0.08724130900428402
3,51,-0.12359428189326312
